circuitID18,location,SÌ£o Paulo .
circuitID18,country,Brazil .
circuitID18,lat,-23.7036 .
circuitID18,lng,-46.6997 .
circuitID18,url,<http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace> .
circuitID19,circuitId,circuitID19 .
circuitID19,circuitRef,indianapolis .
circuitID19,name,Indianapolis Motor Speedway .
circuitID19,location,Indianapolis .
circuitID19,country,USA .
circuitID19,lat,39.795 .
circuitID19,lng,-86.2347 .
circuitID19,url,<http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway> .
circuitID20,circuitId,circuitID20 .
circuitID20,circuitRef,nurburgring .
circuitID20,name,NÌ_rburgring .
circuitID20,location,NÌ_rburg .
circuitID20,country,Germany .
circuitID20,lat,50.3356 .
circuitID20,lng,6.9475 .
circuitID20,url,<http://en.wikipedia.org/wiki/N%C3%BCrburgring> .
circuitID21,circuitId,circuitID21 .
circuitID21,circuitRef,imola .
circuitID21,name,Autodromo Enzo e Dino Ferrari .
circuitID21,location,Imola .
circuitID21,country,Italy .
circuitID21,lat,44.3439 .
circuitID21,lng,11.7167 .
circuitID21,url,<http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari> .
circuitID22,circuitId,circuitID22 .
circuitID22,circuitRef,suzuka .
circuitID22,name,Suzuka Circuit .
circuitID22,location,Suzuka .
circuitID22,country,Japan .
circuitID22,lat,34.8431 .
circuitID22,lng,136.541 .
circuitID22,url,<http://en.wikipedia.org/wiki/Suzuka_Circuit> .
circuitID23,circuitId,circuitID23 .
circuitID23,circuitRef,osterreichring .
circuitID23,name,A1-Ring .
circuitID23,location,Spielburg .
circuitID23,country,Austria .
circuitID23,lat,47.2197 .
circuitID23,lng,14.7647 .
circuitID23,url,<http://en.wikipedia.org/wiki/A1-Ring> .
circuitID24,circuitId,circuitID24 .
circuitID24,circuitRef,yas_marina .
circuitID24,name,Yas Marina Circuit .
circuitID24,location,Abu Dhabi .
circuitID24,country,UAE .
circuitID24,lat,24.4672 .
circuitID24,lng,54.6031 .
circuitID24,url,<http://en.wikipedia.org/wiki/Yas_Marina_Circuit> .
circuitID25,circuitId,circuitID25 .
circuitID25,circuitRef,galvez .
circuitID25,name,AutÌ_dromo Juan y Oscar GÌÁlvez .
circuitID25,location,Buenos Aires .
circuitID25,country,Argentina .
circuitID25,lat,-34.6943 .
circuitID25,lng,-58.4593 .
circuitID25,url,<http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez> .
circuitID26,circuitId,circuitID26 .
circuitID26,circuitRef,jerez .
circuitID26,name,Circuito de Jerez .
circuitID26,location,Jerez de la Frontera .
circuitID26,country,Spain .
circuitID26,lat,36.7083 .
circuitID26,lng,-6.03417 .
circuitID26,url,<http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez> .
circuitID27,circuitId,circuitID27 .
circuitID27,circuitRef,estoril .
circuitID27,name,AutÌ_dromo do Estoril .
circuitID27,location,Estoril .
circuitID27,country,Portugal .
