constructorId,constructorRef,name,nationality,url,
consID67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing
consID68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One)
consID69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One)
consID70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
consID71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
consID72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
consID73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli
consID74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
consID75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor)
consID76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar
consID77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team)
consID78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
consID79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team)
consID80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro
consID81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno
consID82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra
consID83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
consID84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew
consID85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
consID86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
consID87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
consID89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
consID90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
consID91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
consID92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
consID93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
consID94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
consID95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
consID96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
consID97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
consID98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
consID99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
consID100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
consID101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
consID102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
consID103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
consID104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
consID105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
consID106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
consID107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
consID108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
consID109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
consID110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
consID111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
consID112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
consID113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
consID114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
consID115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
consID116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
consID117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin
consID118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
consID119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
consID120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
consID121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
consID122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
consID123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
consID124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
consID125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
consID126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
consID127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
consID128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
consID129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
consID130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
consID131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
consID132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
consID133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
consID134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
consID135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
