constructorResultsId,raceId,constructorId,points,status
consResID139,raceID31,consID6,3,NULL
consResID140,raceID31,consID9,1,NULL
consResID141,raceID31,consID7,0,NULL
consResID142,raceID31,consID3,0,NULL
consResID143,raceID31,consID11,0,NULL
consResID144,raceID31,consID10,0,NULL
consResID145,raceID32,consID4,10,NULL
consResID146,raceID32,consID3,9,NULL
consResID147,raceID32,consID1,6,NULL
consResID148,raceID32,consID7,5,NULL
consResID149,raceID32,consID5,4,NULL
consResID150,raceID32,consID2,3,NULL
consResID151,raceID32,consID9,2,NULL
consResID152,raceID32,consID11,0,NULL
consResID153,raceID32,consID6,0,NULL
consResID154,raceID32,consID10,0,NULL
consResID155,raceID33,consID4,15,NULL
consResID156,raceID33,consID2,8,NULL
consResID157,raceID33,consID6,8,NULL
consResID158,raceID33,consID7,4,NULL
consResID159,raceID33,consID5,3,NULL
consResID160,raceID33,consID9,1,NULL
consResID161,raceID33,consID3,0,NULL
consResID162,raceID33,consID1,0,NULL
consResID163,raceID33,consID11,0,NULL
consResID164,raceID33,consID10,0,NULL
consResID165,raceID34,consID1,10,NULL
consResID166,raceID34,consID6,14,NULL
consResID167,raceID34,consID4,6,NULL
consResID168,raceID34,consID2,7,NULL
consResID169,raceID34,consID7,2,NULL
consResID170,raceID34,consID5,0,NULL
consResID171,raceID34,consID9,0,NULL
consResID172,raceID34,consID11,0,NULL
consResID173,raceID34,consID3,0,NULL
consResID174,raceID34,consID10,0,NULL
consResID175,raceID35,consID6,16,NULL
consResID176,raceID35,consID4,8,NULL
consResID177,raceID35,consID5,5,NULL
consResID178,raceID35,consID1,6,NULL
consResID179,raceID35,consID7,4,NULL
consResID180,raceID35,consID9,0,NULL
consResID181,raceID35,consID2,0,NULL
consResID182,raceID35,consID3,0,NULL
consResID183,raceID35,consID11,0,NULL
consResID184,raceID35,consID10,0,NULL
consResID185,raceID36,consID6,13,NULL
consResID186,raceID36,consID1,14,D
consResID187,raceID36,consID2,5,NULL
consResID188,raceID36,consID4,4,NULL
consResID189,raceID36,consID3,2,NULL
consResID190,raceID36,consID7,1,NULL
consResID191,raceID36,consID11,0,NULL
consResID192,raceID36,consID8,0,NULL
consResID193,raceID36,consID9,0,NULL
consResID194,raceID36,consID5,0,NULL
consResID195,raceID36,consID12,0,NULL
consResID196,raceID37,consID1,18,D
consResID197,raceID37,consID6,10,NULL
consResID198,raceID37,consID2,5,NULL
consResID199,raceID37,consID4,4,NULL
consResID200,raceID37,consID7,2,NULL
consResID201,raceID37,consID3,0,NULL
consResID202,raceID37,consID9,0,NULL
consResID203,raceID37,consID11,0,NULL
consResID204,raceID37,consID8,0,NULL
consResID205,raceID37,consID5,0,NULL
consResID206,raceID37,consID12,0,NULL
consResID207,raceID38,consID6,16,NULL
consResID208,raceID38,consID1,12,D
consResID209,raceID38,consID2,8,NULL
consResID210,raceID38,consID7,2,NULL
consResID211,raceID38,consID4,1,NULL
consResID212,raceID38,consID3,0,NULL
consResID213,raceID38,consID11,0,NULL
consResID214,raceID38,consID12,0,NULL
consResID215,raceID38,consID8,0,NULL
consResID216,raceID38,consID9,0,NULL
consResID217,raceID38,consID5,0,NULL
consResID218,raceID39,consID6,10,NULL
consResID219,raceID39,consID1,14,D
consResID220,raceID39,consID2,5,NULL
consResID221,raceID39,consID9,4,NULL
consResID222,raceID39,consID3,3,NULL
consResID223,raceID39,consID4,2,NULL
consResID224,raceID39,consID8,1,NULL
consResID225,raceID39,consID11,0,NULL
consResID226,raceID39,consID12,0,NULL
consResID227,raceID39,consID7,0,NULL
consResID228,raceID39,consID5,0,NULL
consResID229,raceID40,consID1,18,D
consResID230,raceID40,consID6,7,NULL
consResID231,raceID40,consID4,5,NULL
consResID232,raceID40,consID2,7,NULL
